date,value1
40897,781.418
40898,761.337
40899,757.896
40900,761.442
40903,753.049
40904,727.173
40905,717.554
40906,716.549
40907,729.504
40912,707.107
40913,666.905
40914,669.017
40917,692.418
40918,716.453
40919,717.936
40920,709.89
40921,666.078
40924,633.908
40925,662.69
40926,624.911
40927,632.799
40928,646.383
40938,651.246
40939,648.681
40940,650.776
40941,665.402
40942,680.045
40945,686.508
40946,673.679
40947,692.303
40948,697.79
40949,698.854
40952,714.956
40953,712.296
40954,724.751
40955,721.832
40956,717.797
40959,721.099
40960,736.882
40961,759.562
40962,756.897
40963,762.29
40966,760.373
40967,747.768
40968,735.336
40969,743.148
40970,757.669
40973,759.369
40974,750.837
40975,749.266
40976,761.703
40977,777.694
40980,786.049
40981,792.378
40982,756.459
40983,746.441
40984,765.562
40987,779.557
40988,755.583
40989,751.791
40990,750.851
40991,737.892
40994,737.213
40995,735.734
40996,698.486
40997,683.959
40998,678.519
41004,697.751
41005,701.901
41008,689.715
41009,697.165
41010,698.487
41011,713.124
41012,718.959
41015,716.229
41016,709.139
41017,723.462
41018,725.12
41019,728.718
41022,690.432
41023,681.534
41024,682.524
41025,678.444
41026,685.131
41031,693.609
41032,699.306
41033,713.186
41036,733.045
41037,731.723
41038,719.35
41039,727.285
41040,721.078
41043,719.872
41044,720.115
41045,709.956
41046,716.17
41047,706.216
41050,704.803
41051,714.662
41052,713.017
41053,712.577
41054,702.724
41057,706.47
41058,720.454
41059,727.188
41060,734.454
41061,734.257
41064,717.101
41065,715.93
41066,715.24
41067,711.428
41068,713.921
41071,734.504
41072,735.294
41073,746.505
41074,740.966
41075,742.268
41078,752.978
41079,747.492
41080,748.388
41081,739.047
41085,720.6
41086,715.924
41087,718.928
41088,711.144
41089,726.684
41092,741.186
41093,743.902
41094,739.624
41095,724.313
41096,737.289
41099,722.281
41100,713.526
41101,719.299
41102,734.323
41103,725.788
41106,691.385
41107,697.003
41108,702.138
41109,709.166
41110,706.25
41113,704.573
41114,706.396
41115,708.301
41116,706.725
41117,703.581
41120,688.474
41121,676.96
41122,689.489
41123,690.982
41124,711.925
41127,730.419
41128,736.012
41129,730.065
41130,743.199
41131,743.073
41134,727.637
41135,736.347
41136,729.73
41137,723.53
41138,721.049
41141,730.866
41142,748.935
41143,746.853
41144,750.561
41145,733.309
41148,722.574
41149,727.616
41150,726.941
41151,704.035
41152,706.625
41155,723.871
41156,722.721
41157,730.616
41158,739.741
41159,759.46
41162,762.313
41163,761.731
41164,762.511
41165,749.892
41166,744.464
41169,724.145
41170,723.61
41171,728.251
41172,706.693
41173,691.138
41176,690.338
41177,682.335
41178,661.49
41179,676.957
41180,689.64
41190,690.767
41191,712.702
41192,721.848
41193,711.797
41194,708.868
41197,701.964
41198,705.388
41199,709.094
41200,720.524
41201,719.448
41204,724.278
41205,711.262
41206,707.753
41207,697.436
41208,685.333
41211,688.12
41212,689.61
41213,691.653
41214,701.778
41215,701.38
41218,692.868
41219,690.497
41220,689.746
41221,675.849
41222,672.67
41225,676.597
41226,667.327
41227,665.185
41228,659.211
41229,656.196
41232,656.936
41233,656.606
41234,660.032
41235,651.826
41236,651.43
41239,638.878
41240,616.284
41241,607.67
41242,603.17
41243,606.766
41246,593.66
41247,600.801
41248,624.824
41249,624.318
41250,637.487
41253,646.319
41254,641.167
41255,639.509
41256,632.181
41257,656.217
41260,649.612
41261,646.046
41262,652.101
41263,658.311
41264,668.089
41267,679.759
41268,694.116
41269,709.075
41270,699.569
41271,707.668
41274,713.863
41278,705.342
41281,718.114
41282,733.138
41283,734.506
41284,741.18
41285,731.587
41288,760.55
41289,778.603
41290,774.485
41291,768.308
41292,787.386
41295,792.6
41296,775.135
41297,778.478
41298,757.869
41299,762.848
41302,784.76
41303,791.671
41304,783.682
41305,776.005
41306,782.363
41309,771.902
41310,780.981
41311,791.263
41312,805.586
41313,823.028
41323,835.277
41324,819.709
41325,850.863
41326,839.298
41327,838.763
41330,855.694
41331,851.217
41332,846.09
41333,861.095
41334,884.891
41337,863.5
41338,888.099
41339,902.903
41340,877.337
41341,864.699
41344,869.15
41345,839.836
41346,834.049
41347,842.036
41348,853.906
41351,852.117
41352,842.685
41353,866.267
41354,882.734
41355,882.001
41358,881.756
41359,876.361
41360,882.752
41361,867.511
41362,866.455
41365,877.001
41366,845.163
41367,835.138
41372,853.484
41373,861.991
41374,850.533
41375,847.782
41376,846.612
41379,836.342
41380,846.054
41381,867.511
41382,873.481
41383,892.21
41386,916.021
41387,893.79
41388,923.406
41389,903.634
41390,889.381
41396,913.651
41397,939.21
41400,958.022
41401,957.44
41402,980.083
41403,992.161
41404,988.3
41407,995.109
41408,976.333
41409,1012.66
41410,1009.53
41411,1023.4
41414,1051.65
41415,1073.58
41416,1039.81
41417,1042.9
41418,1073.78
41421,1089.72
41422,1059
41423,1065.96
41424,1073.87
41425,1073.02
41428,1052.14
41429,1022.46
41430,1032.76
