date,value1
40696,23253.84
40697,22949.56
40701,22868.67
40702,22661.63
40703,22609.83
40704,22420.37
40707,22508.08
40708,22496
40709,22343.77
40710,21953.11
40711,21695.26
40714,21599.51
40715,21850.59
40716,21859.97
40717,21759.14
40718,22171.95
40721,22041.77
40722,22061.78
40723,22061.18
40724,22398.1
40728,22770.47
40729,22747.95
40730,22517.55
40731,22530.18
40732,22726.43
40735,22347.23
40736,21663.16
40737,21926.88
40738,21940.2
40739,21875.38
40742,21804.75
40743,21902.4
40744,22003.69
40745,21987.29
40746,22444.8
40749,22293.29
40750,22572.08
40751,22541.69
40752,22570.74
40753,22440.25
40756,22663.37
40757,22421.46
40758,21992.72
40759,21884.74
40760,20946.14
40763,20490.57
40764,19330.7
40765,19783.67
40766,19595.14
40767,19620.01
40770,20260.1
40771,20212.08
40772,20289.03
40773,20016.27
40774,19399.92
40777,19486.87
40778,19875.53
40779,19466.79
40780,19752.48
40781,19582.88
40784,19865.11
40785,20204.17
40786,20534.85
40787,20585.33
40788,20212.91
40791,19616.4
40792,19710.5
40793,20048
40794,19912.82
40795,19866.63
40798,19030.54
40800,19045.44
40801,19181.5
40802,19455.31
40805,18917.95
40806,19014.8
40807,18824.17
40808,17911.95
40809,17668.83
40812,17407.8
40813,18130.55
40814,18011.06
40816,17592.41
40819,16822.15
40820,16250.27
40822,17172.28
40823,17707.01
40826,17711.06
40827,18141.59
40828,18329.46
40829,18757.81
40830,18501.79
40833,18873.99
40834,18076.46
40835,18309.22
40836,17983.1
40837,18025.72
40840,18771.82
40841,18968.2
40842,19066.54
40843,19688.7
40844,20019.24
40847,19864.87
40848,19369.96
40849,19733.71
40850,19242.5
40851,19842.79
40854,19677.89
40855,19678.47
40856,20014.43
40857,18963.89
40858,19137.17
40861,19508.18
40862,19348.44
40863,18960.9
40864,18817.47
40865,18491.23
40868,18225.85
40869,18251.59
40870,17864.43
40871,17935.1
40872,17689.48
40875,18037.81
40876,18256.2
40877,17989.35
40878,18002.25
40879,19040.39
40882,19179.69
40883,18942.23
40884,19240.58
40885,19107.81
40886,18586.23
40889,18575.66
40890,18447.17
40891,18354.43
40892,18026.84
40893,18285.39
40896,18070.21
40897,18080.2
40898,18416.45
40899,18378.23
40900,18629.17
40905,18518.67
40906,18397.92
40907,18434.39
40911,18877.41
40912,18727.31
40913,18813.41
40914,18593.06
40917,18865.72
40918,19004.28
40919,19151.94
40920,19095.38
40921,19204.42
40924,19012.2
40925,19627.75
40926,19686.92
40927,19942.95
40928,20110.37
40934,20439.14
40935,20501.67
40938,20160.41
40939,20390.49
40940,20333.37
40941,20739.45
40942,20756.98
40945,20709.94
40946,20699.19
40947,21018.46
40948,21010.01
40949,20783.86
40952,20887.4
40953,20917.83
40954,21365.23
40955,21277.28
40956,21491.62
40959,21424.79
40960,21478.72
40961,21549.28
40962,21380.99
40963,21406.86
40966,21217.86
40967,21568.73
40968,21680.08
40969,21387.96
40970,21562.26
40973,21265.31
40974,20806.25
40975,20627.78
40976,20900.73
40977,21086
40980,21134.18
40981,21339.7
40982,21307.89
40983,21353.53
40984,21317.85
40987,21115.29
40988,20888.24
40989,20856.63
40990,20901.56
40991,20668.8
40994,20668.86
40995,21046.91
40996,20885.42
40997,20609.39
40998,20555.58
41002,20790.98
41004,20593
41009,20356.24
41010,20140.67
41011,20327.32
41012,20701.04
41015,20610.64
41016,20562.31
41017,20780.73
41018,20995.01
41019,21010.64
41022,20624.39
41023,20677.16
41024,20646.29
41025,20809.71
41026,20741.45
41029,21094.21
41031,21309.08
41032,21249.53
41033,21086
41036,20536.65
41037,20484.75
41038,20330.64
41039,20227.28
41040,19964.63
41043,19735.04
41044,19894.31
41045,19259.83
41046,19200.93
41047,18951.85
41050,18922.32
41051,19039.15
41052,18786.19
41053,18666.4
41054,18713.41
41057,18800.99
41058,19055.46
41059,18690.22
41060,18629.52
41061,18558.34
41064,18185.59
41065,18259.03
41066,18520.53
41067,18678.29
41068,18502.34
41071,18953.63
41072,18872.56
41073,19026.52
41074,18808.4
41075,19233.94
41078,19427.81
41079,19416.67
41080,19518.85
41081,19265.07
41082,18995.13
41085,18897.45
41086,18981.84
41087,19176.95
41088,19025.27
41089,19441.46
41093,19735.53
41094,19709.75
41095,19809.13
41096,19800.64
41099,19428.09
41100,19396.36
41101,19419.87
41102,19025.11
41103,19092.63
41106,19121.34
41107,19455.33
41108,19239.88
41109,19559.05
41110,19640.8
41113,19053.47
41114,18903.2
41115,18877.33
41116,18892.79
41117,19274.96
41120,19585.4
41121,19796.81
41122,19820.38
41123,19690.2
41124,19666.18
41127,19998.72
41128,20072.55
41129,20065.52
41130,20269.47
41131,20136.12
41134,20081.36
41135,20291.68
41136,20052.29
41137,19962.95
41138,20116.07
41141,20104.27
41142,20100.09
41143,19887.78
41144,20132.24
41145,19880.03
41148,19798.67
41149,19811.8
41150,19788.51
41151,19552.91
41152,19482.57
41155,19559.21
41156,19429.91
41157,19145.07
41158,19209.3
41159,19802.16
41162,19827.17
41163,19857.88
41164,20075.39
41165,20047.63
41166,20629.78
41169,20658.11
41170,20601.93
41171,20841.91
41172,20590.92
41173,20734.94
41176,20694.7
41177,20698.68
41178,20527.73
41179,20762.29
41180,20840.38
41185,20888.28
41186,20907.95
41187,21012.38
41190,20824.56
41191,20937.28
41192,20919.6
41193,20999.05
41194,21136.43
41197,21148.25
41198,21207.07
41199,21416.64
41200,21518.71
41201,21551.76
41204,21697.55
41206,21763.78
41207,21810.23
41208,21545.57
41211,21511.05
41212,21428.58
41213,21641.82
41214,21821.87
41215,22111.33
41218,22006.4
41219,21944.43
41220,22099.85
41221,21566.91
41222,21384.38
41225,21430.3
41226,21188.65
41227,21441.99
41228,21108.93
41229,21159.01
41232,21262.06
41233,21228.28
41234,21524.36
41235,21743.2
41236,21913.98
41239,21861.81
41240,21844.03
41241,21708.98
41242,21922.89
41243,22030.39
41246,21767.85
41247,21799.97
41248,22270.91
41249,22249.81
41250,22191.17
41253,22276.72
41254,22323.94
41255,22503.35
41256,22445.58
41257,22605.98
41260,22513.61
41261,22494.73
41262,22623.37
41263,22659.78
41264,22506.29
41267,22541.18
41270,22619.78
41271,22666.59
41274,22656.92
41276,23311.98
41277,23398.6
41278,23331.09
41281,23329.75
41282,23111.19
41283,23218.47
41284,23354.31
41285,23264.07
41288,23413.26
41289,23381.51
41290,23356.99
41291,23339.76
41292,23601.78
41295,23590.91
41296,23658.99
41297,23635.1
41298,23598.9
41299,23580.43
41302,23671.88
41303,23655.17
41304,23822.06
41305,23729.53
41306,23721.84
41309,23685.01
41310,23148.53
41311,23256.93
41312,23177
41313,23215.16
41319,23413.25
41320,23444.56
41323,23381.94
41324,23143.91
41325,23307.41
41326,22906.67
41327,22782.44
41330,22820.08
41331,22519.69
41332,22577.01
41333,23020.27
41334,22880.22
41337,22537.81
41338,22560.5
41339,22777.84
41340,22771.44
41341,23091.95
41344,23090.82
41345,22890.6
41346,22556.65
41347,22619.18
41348,22533.11
41351,22083.36
41352,22041.86
41353,22256.44
41354,22225.88
41355,22115.3
41358,22251.15
41359,22311.08
41360,22464.82
41361,22299.63
41366,22367.82
41367,22337.49
41369,21726.9
41372,21718.05
41373,21870.34
41374,22034.56
41375,22101.27
41376,22089.05
41379,21772.67
41380,21672.03
41381,21569.67
41382,21512.52
41383,22013.57
41386,22044.37
41387,21806.61
41388,22183.05
41389,22401.24
41390,22547.71
41393,22580.77
41394,22737.01
41396,22668.3
41397,22689.96
41400,22915.09
41401,23047.09
41402,23244.35
41403,23211.48
41404,23321.22
41407,22989.81
41408,22930.28
41409,23044.24
41410,23082.68
41414,23493.03
41415,23366.37
41416,23261.08
41417,22669.68
41418,22618.67
41421,22686.05
41422,22924.25
41423,22554.93
41424,22484.31
41425,22392.16
41428,22282.19
41429,22285.52
41430,22069.24
41431,21838.43
41432,21575.26
41435,21615.09
41436,21354.66
41438,20887.04
41439,20969.14
41442,21225.9
41443,21225.88
41444,20986.89
41445,20382.87
41446,20263.31
41449,19813.98
41450,19855.72
41451,20338.55
41452,20440.08
41453,20803.29
41457,20658.65
41458,20147.31
41459,20468.67
41460,20854.67
41463,20582.19
41464,20683.01
41465,20904.56
41466,21437.49
41467,21277.28
41470,21303.31
41471,21312.38
41472,21371.87
41473,21345.22
41474,21362.42
41477,21416.5
41478,21915.42
41479,21968.93
41480,21900.96
41481,21968.95
41484,21850.15
41485,21953.96
41486,21883.66
41487,22088.79
41488,22190.97
41491,22222.01
41492,21923.7
41493,21588.84
41494,21655.88
41495,21807.56
41498,22271.28
41499,22541.13
41501,22539.25
41502,22517.81
41505,22463.7
41506,21970.29
41507,21817.73
41508,21895.4
41509,21863.51
41512,22005.32
41513,21874.77
41514,21524.65
41515,21704.78
41516,21731.37
41519,22175.34
41520,22394.58
41521,22326.22
41522,22597.97
41523,22621.22
41526,22750.65
41527,22976.65
41528,22937.14
41529,22953.72
41530,22915.28
41533,23252.41
41534,23180.52
41535,23117.45
41536,23502.51
41540,23371.54
41541,23179.04
41542,23209.63
41543,23125.03
41544,23207.04
41547,22859.86
41549,22984.48
41550,23214.4
41551,23138.54
41554,22973.95
41555,23178.85
41556,23033.97
41557,22951.3
41558,23218.32
41562,23336.52
41563,23228.33
41564,23094.88
41565,23340.1
41568,23438.15
41569,23315.99
41570,22999.95
41571,22835.82
41572,22698.34
41575,22806.58
41576,22846.54
41577,23304.02
41578,23206.37
41579,23249.79
41582,23189.62
41583,23038.95
41584,23036.94
41585,22881.03
41586,22744.39
41589,23069.85
41590,22901.41
41591,22463.83
41592,22649.15
41593,23032.15
41596,23660.06
41597,23657.81
41598,23700.86
41599,23580.29
41600,23696.28
41603,23684.45
41604,23681.28
41605,23806.35
41606,23789.09
41607,23881.29
41610,24038.55
41611,23910.47
41612,23728.7
41613,23712.57
41614,23743.1
41617,23811.17
41618,23744.19
41619,23338.24
41620,23218.12
41621,23245.96
41624,23114.66
41625,23069.23
41626,23143.82
41627,22888.75
41628,22812.18
41631,22921.56
41632,23179.55
41635,23243.24
41638,23244.87
41639,23306.39
41641,23340.05
41642,22817.28
41645,22684.15
41646,22712.78
41647,22996.59
41648,22787.33
41649,22846.25
41652,22888.76
41653,22791.28
41654,22902
41655,22986.41
41656,23133.35
41659,22928.95
41660,23033.12
41661,23082.25
41662,22733.9
41663,22450.06
41666,21976.1
41667,21960.64
41668,22141.61
41669,22035.42
41674,21397.77
41675,21269.38
41676,21423.13
41677,21636.85
41680,21579.26
41681,21962.98
41682,22285.79
41683,22165.53
41684,22298.41
41687,22535.94
41688,22587.72
41689,22664.52
41690,22394.08
41691,22568.24
41694,22388.56
41695,22317.2
41696,22437.44
41697,22828.18
41698,22836.96
41701,22500.67
41702,22657.63
41703,22579.78
41704,22702.97
41705,22660.49
41708,22264.93
41709,22269.61
41710,21901.95
41711,21756.08
41712,21539.49
41715,21473.95
41716,21583.5
41717,21568.69
41718,21182.16
41719,21436.7
41722,21846.45
41723,21732.32
41724,21887.75
41725,21834.45
41726,22065.53
41729,22151.06
41730,22448.54
41731,22523.94
41732,22565.08
41733,22510.08
41736,22377.15
41737,22596.97
41738,22843.17
41739,23186.96
41740,23003.64
41743,23038.8
41744,22671.26
41745,22696.01
41746,22760.24
41751,22730.68
41752,22509.64
41753,22562.8
41754,22223.53
41757,22132.53
41758,22453.89
41759,22133.97
41761,22260.67
41764,21976.33
41766,21746.26
41767,21837.12
41768,21862.99
41771,22261.61
41772,22352.38
41773,22582.77
41774,22730.86
41775,22712.91
41778,22704.5
41779,22834.68
41780,22836.52
41781,22953.76
41782,22965.86
41785,22963.18
41786,22944.3
41787,23080.03
41788,23010.14
41789,23081.65
41793,23291.04
41794,23151.71
41795,23109.66
41796,22951
41799,23117.47
41800,23315.74
41801,23257.29
41802,23175.02
41803,23319.17
41806,23300.67
41807,23203.59
41808,23181.72
41809,23167.73
41810,23194.06
41813,22804.81
41814,22880.64
41815,22866.7
41816,23197.83
41817,23221.52
41820,23190.72
41822,23549.62
41823,23531.44
41824,23546.36
41827,23540.92
41828,23541.38
41829,23176.07
41830,23238.99
41831,23233.45
41834,23346.67
41835,23459.96
41836,23523.28
41837,23520.87
41838,23454.79
41841,23387.14
41842,23782.11
41843,23971.87
41844,24141.5
41845,24216.01
41848,24428.63
41849,24640.53
41850,24732.21
41851,24756.85
41852,24532.43
41855,24600.08
41856,24648.26
41857,24584.13
41858,24489.27
41859,24331.41
41862,24646.02
41863,24689.41
41864,24890.34
41865,24801.36
41866,24954.94
41869,24955.46
41870,25122.95
41871,25159.76
41872,24994.1
41873,25112.23
41876,25166.91
41877,25074.5
41878,24918.75
41879,24741
41880,24742.06
41883,24752.09
41884,24749.02
41885,25317.95
41886,25297.92
41887,25240.15
41890,25190.45
41892,24705.36
41893,24662.64
41894,24595.32
41897,24356.99
41898,24136.01
41899,24376.41
41900,24168.72
41901,24306.16
41904,23955.49
41905,23837.07
41906,23921.61
41907,23768.13
41908,23678.41
41911,23229.21
41912,22932.98
41915,23064.56
41918,23315.04
41919,23422.52
41920,23263.33
41921,23534.53
41922,23088.54
41925,23143.38
41926,23047.97
41927,23140.05
41928,22900.94
41929,23026.94
41932,23070.26
41933,23088.58
41934,23403.97
41935,23333.18
41936,23302.2
41939,23143.23
41940,23520.36
41941,23819.87
41942,23702.04
41943,23998.06
41946,23915.97
41947,23845.66
41948,23695.62
41949,23649.31
41950,23550.24
41953,23744.7
41954,23808.28
41955,23938.18
41956,24019.94
41957,24087.38
41960,23797.08
41961,23529.17
41962,23373.31
41963,23349.64
41964,23437.12
41967,23893.14
41968,23843.91
41969,24111.98
41970,24004.28
41971,23987.45
41974,23367.45
41975,23654.3
41976,23428.62
41977,23832.56
41978,24002.64
41981,24047.67
41982,23485.83
41983,23524.52
41984,23312.54
41985,23249.2
41988,23027.85
41989,22670.5
41990,22585.84
41991,22832.21
41992,23116.63
41995,23408.57
41996,23333.69
41997,23349.34
42002,23773.18
42003,23501.1
42004,23605.04
42006,23857.82
42009,23721.32
42010,23485.41
42011,23681.26
42012,23835.53
42013,23919.95
42016,24026.46
42017,24215.97
42018,24112.6
42019,24350.91
42020,24103.52
42023,23738.49
42024,23951.16
42025,24352.58
42026,24522.63
42027,24850.45
42030,24909.9
42031,24807.28
42032,24861.81
42033,24595.85
42034,24507.05
42037,24484.74
42038,24554.78
42039,24679.76
42040,24765.49
42041,24679.39
42044,24521
42045,24528.1
42046,24315.02
42047,24422.15
42048,24682.54
42051,24726.53
42052,24784.88
42053,24832.08
42058,24836.76
42059,24750.07
42060,24778.28
42061,24902.06
42062,24823.29
42065,24887.44
42066,24702.78
42067,24465.38
42068,24193.04
42069,24164
42072,24123.05
42073,23896.98
42074,23717.97
42075,23797.96
42076,23823.21
42079,23949.55
42080,23901.49
42081,24120.08
42082,24468.89
42083,24375.24
42086,24494.51
42087,24399.6
42088,24528.23
42089,24497.08
42090,24486.2
42093,24855.12
42094,24900.89
42095,25082.75
42096,25275.64
42102,26236.86
42103,26944.39
42104,27272.39
42107,28016.34
42108,27561.49
42109,27618.82
42110,27739.71
42111,27653.12
42114,27094.93
42115,27850.49
42116,27933.85
42117,27827.7
42118,28060.98
42121,28433.59
42122,28442.75
42123,28400.34
42124,28133
42128,28123.82
42129,27755.54
42130,27640.91
42131,27289.97
42132,27577.34
42135,27718.2
42136,27407.18
42137,27249.28
42138,27286.55
42139,27822.28
42142,27591.25
42143,27693.54
42144,27585.05
42145,27523.72
42146,27992.83
42150,28249.86
42151,28081.21
42152,27454.31
42153,27424.19
42156,27597.16
42157,27466.72
42158,27657.47
42159,27551.89
42160,27260.16
42163,27316.28
42164,26989.52
42165,26687.64
42166,26907.85
42167,27280.54
42170,26861.81
42171,26566.7
42172,26753.79
42173,26694.66
42174,26760.53
42177,27080.85
42178,27333.46
42179,27404.97
42180,27145.75
42181,26663.87
42184,25966.98
42185,26250.03
42187,26282.32
42188,26064.11
42191,25236.28
42192,24975.31
42193,23516.56
42194,24392.79
42195,24901.28
42198,25224.01
42199,25120.91
42200,25055.76
42201,25162.78
42202,25415.27
42205,25404.81
42206,25536.43
42207,25282.62
42208,25398.85
42209,25128.51
42212,24351.96
42213,24503.94
42214,24619.45
42215,24497.98
42216,24636.28
42219,24411.42
42220,24406.12
42221,24514.16
42222,24375.28
42223,24552.47
42226,24521.12
42227,24498.21
42228,23916.02
42229,24018.8
42230,23991.03
42233,23814.65
42234,23474.97
42235,23167.85
42236,22757.47
42237,22409.62
42240,21251.57
42241,21404.96
42242,21080.39
42243,21838.54
42244,21612.39
42247,21670.58
42248,21185.43
42249,20934.94
42251,20840.61
42254,20583.52
42255,21259.04
42256,22131.31
42257,21562.5
42258,21504.37
42261,21561.9
42262,21455.23
42263,21966.66
42264,21854.63
42265,21920.83
42268,21756.93
42269,21796.58
42270,21302.91
42271,21095.98
42272,21186.32
42276,20556.6
42277,20846.3
42279,21506.09
42282,21854.5
42283,21831.62
42284,22515.76
42285,22354.91
42286,22458.8
42289,22730.93
42290,22600.46
42291,22439.91
42292,22888.17
42293,23067.37
42296,23075.61
42297,22989.22
42299,22845.37
42300,23151.94
42303,23116.25
42304,23142.73
42305,22956.57
